state,date,sex,ethnicity,abs
Johor,2000-01-01,both,overall,67183.0
Johor,2001-01-01,both,overall,61432.0
Johor,2002-01-01,both,overall,59699.0
Johor,2003-01-01,both,overall,58230.0
Johor,2004-01-01,both,overall,57339.0
Johor,2005-01-01,both,overall,56524.0
Johor,2006-01-01,both,overall,56737.0
Johor,2007-01-01,both,overall,57780.0
Johor,2008-01-01,both,overall,57838.0
Johor,2009-01-01,both,overall,57849.0
Johor,2010-01-01,both,overall,56064.0
Johor,2011-01-01,both,overall,58167.0
Johor,2012-01-01,both,overall,60444.0
Johor,2013-01-01,both,overall,57402.0
Johor,2014-01-01,both,overall,60443.0
Johor,2015-01-01,both,overall,60543.0
Johor,2016-01-01,both,overall,59561.0
Johor,2017-01-01,both,overall,61085.0
Johor,2018-01-01,both,overall,61084.0
Johor,2019-01-01,both,overall,60261.0
Johor,2020-01-01,both,overall,56908.0
Johor,2021-01-01,both,overall,49990.0
Johor,2022-01-01,both,overall,48254.0
Johor,2023-01-01,both,overall,56156.0
Kedah,2000-01-01,both,overall,41014.0
Kedah,2001-01-01,both,overall,38073.0
Kedah,2002-01-01,both,overall,36604.0
Kedah,2003-01-01,both,overall,35407.0
Kedah,2004-01-01,both,overall,35059.0
Kedah,2005-01-01,both,overall,34254.0
Kedah,2006-01-01,both,overall,33864.0
Kedah,2007-01-01,both,overall,33963.0
Kedah,2008-01-01,both,overall,35415.0
Kedah,2009-01-01,both,overall,36019.0
Kedah,2010-01-01,both,overall,35128.0
Kedah,2011-01-01,both,overall,35937.0
Kedah,2012-01-01,both,overall,36390.0
Kedah,2013-01-01,both,overall,35032.0
Kedah,2014-01-01,both,overall,36505.0
Kedah,2015-01-01,both,overall,36784.0
Kedah,2016-01-01,both,overall,35967.0
Kedah,2017-01-01,both,overall,36693.0
Kedah,2018-01-01,both,overall,35643.0
Kedah,2019-01-01,both,overall,34511.0
Kedah,2020-01-01,both,overall,33828.0
Kedah,2021-01-01,both,overall,33040.0
Kedah,2022-01-01,both,overall,30796.0
Kedah,2023-01-01,both,overall,33811.0
Kelantan,2000-01-01,both,overall,40404.0
Kelantan,2001-01-01,both,overall,38186.0
Kelantan,2002-01-01,both,overall,37297.0
