state,year,live_birth,tfr
Johor,2013,57402,2.11
Johor,2014,60443,2.16
Johor,2015,60543,2.14
Johor,2016,59561,2.09
Johor,2017,61085,2.12
Johor,2018,61084,2.09
Johor,2019,60261,2.05
Johor,2020,56908,1.94
Johor,2021,49990,1.66
Johor,2022,48254,1.59
Johor,2023,56156,1.82
Kedah,2013,35032,2.42
Kedah,2014,36505,2.47
Kedah,2015,36784,2.41
Kedah,2016,35967,2.31
Kedah,2017,36693,2.31
Kedah,2018,35643,2.2
Kedah,2019,34511,2.09
Kedah,2020,33828,2.03
Kedah,2021,33040,2.03
Kedah,2022,30796,1.83
Kedah,2023,33811,1.98
Kelantan,2013,36413,3.44
Kelantan,2014,39279,3.57
Kelantan,2015,39108,3.42
Kelantan,2016,38455,3.23
Kelantan,2017,39122,3.16
Kelantan,2018,38360,3
Kelantan,2019,36858,2.77
Kelantan,2020,36275,2.66
Kelantan,2021,34764,2.83
Kelantan,2022,33808,2.65
Kelantan,2023,35705,2.72
Melaka,2013,13692,2.06
Melaka,2014,14568,2.13
Melaka,2015,14554,2.05
Melaka,2016,14402,1.96
Melaka,2017,14389,1.9
Melaka,2018,14388,1.85
Melaka,2019,14136,1.78
Melaka,2020,13855,1.73
Melaka,2021,13192,1.67
Melaka,2022,13105,1.66
Melaka,2023,13583,1.67
Negeri Sembilan,2013,17509,2.2
Negeri Sembilan,2014,18676,2.31
Negeri Sembilan,2015,18423,2.25
Negeri Sembilan,2016,18036,2.17
Negeri Sembilan,2017,18078,2.13
Negeri Sembilan,2018,18177,2.12
Negeri Sembilan,2019,17464,2
Negeri Sembilan,2020,17120,1.96
Negeri Sembilan,2021,16777,1.8
Negeri Sembilan,2022,15991,1.72
Negeri Sembilan,2023,16570,1.76
Pahang,2013,26968,2.38
Pahang,2014,28743,2.49
Pahang,2015,28059,2.39
Pahang,2016,27626,2.29
Pahang,2017,27555,2.24
Pahang,2018,27006,2.15
Pahang,2019,25887,2.01
Pahang,2020,25344,1.94
Pahang,2021,24507,2.18
