date,ethnicity,live_births
2013-01-01,bumi_malay,312237
2013-01-01,bumi_other,66129
2013-01-01,chinese,69561
2013-01-01,indian,24378
2013-01-01,other_citizen,8351
2013-01-01,other_noncitizen,23258
2013-01-01,overall,503914
2014-01-01,bumi_malay,330521
2014-01-01,bumi_other,67428
2014-01-01,chinese,73887
2014-01-01,indian,24301
2014-01-01,other_citizen,8225
2014-01-01,other_noncitizen,24250
2014-01-01,overall,528612
2015-01-01,bumi_malay,333226
2015-01-01,bumi_other,66050
2015-01-01,chinese,69985
2015-01-01,indian,23224
2015-01-01,other_citizen,8073
2015-01-01,other_noncitizen,20578
2015-01-01,overall,521136
2016-01-01,bumi_malay,331637
2016-01-01,bumi_other,63977
2016-01-01,chinese,65574
2016-01-01,indian,22055
2016-01-01,other_citizen,7767
2016-01-01,other_noncitizen,17193
2016-01-01,overall,508203
2017-01-01,bumi_malay,335964
2017-01-01,bumi_other,64183
2017-01-01,chinese,62094
2017-01-01,indian,21973
2017-01-01,other_citizen,7752
2017-01-01,other_noncitizen,16719
2017-01-01,overall,508685
2018-01-01,bumi_malay,334304
2018-01-01,bumi_other,64076
2018-01-01,chinese,57766
2018-01-01,indian,21586
2018-01-01,other_citizen,7544
2018-01-01,other_noncitizen,16669
2018-01-01,overall,501945
2019-01-01,bumi_malay,322064
2019-01-01,bumi_other,63627
2019-01-01,chinese,58078
2019-01-01,indian,20810
2019-01-01,other_citizen,7256
2019-01-01,other_noncitizen,18028
2019-01-01,overall,489863
2020-01-01,bumi_malay,313103
2020-01-01,bumi_other,61504
2020-01-01,chinese,51287
2020-01-01,indian,20458
2020-01-01,other_citizen,6894
2020-01-01,other_noncitizen,18258
2020-01-01,overall,471504
2021-01-01,bumi_malay,304620
2021-01-01,bumi_other,52520
2021-01-01,chinese,43833
2021-01-01,indian,17956
2021-01-01,other_citizen,5531
2021-01-01,other_noncitizen,15284
2021-01-01,overall,439744
2022-01-01,bumi_malay,291353
2022-01-01,bumi_other,52928
2022-01-01,chinese,40249
2022-01-01,indian,17439
2022-01-01,other_citizen,5443
2022-01-01,other_noncitizen,15712
2022-01-01,overall,423124
2023-01-01,bumi_malay,305494
2023-01-01,bumi_other,57608
2023-01-01,chinese,44818
2023-01-01,indian,20064
2023-01-01,other_citizen,0
2023-01-01,other_noncitizen,0
2023-01-01,overall,455761
